Angola Luanda ,Africa,1
Benin Cotonou,Africa,1
Botswana/Namibia,Africa,1
Cape Verde Praia,Africa,1
Democratic Republic of Congo Kinshasa,Africa,1
Democratic Republic of Congo Lubumbashi ,Africa,1
Ghana Accra ,Africa,1
Ghana Accra West,Africa,1
Ghana Cape Coast ,Africa,1
Ghana Kumasi ,Africa,1
Ivory Coast Abidjan,Africa,1
Kenya Nairobi,Africa,1
Liberia Monrovia,Africa,1
Madagascar Antananarivo ,Africa,1
Mozambique Maputo,Africa,1
Nigeria Benin City,Africa,1
Nigeria Calabar,Africa,1
Nigeria Enugu,Africa,1
Nigeria Lagos,Africa,1
Nigeria Port Harcourt ,Africa,1
Sierra Leone Freetown,Africa,1
South Africa Cape Town ,Africa,1
South Africa Durban,Africa,1
South Africa Johannesburg ,Africa,1
Uganda Kampala ,Africa,1
Zambia Lusaka,Africa,1
Zimbabwe Harare,Africa,1
Cambodia Phnom Penh,Asia,1
China Hong Kong,Asia,1
India Bangalore,Asia,1
India New Delhi,Asia,1
Indonesia Jakarta ,Asia,1
Japan Fukuoka,Asia,1
Japan Kobe,Asia,1
Japan Nagoya,Asia,1
Japan Sapporo,Asia,1
Japan Sendai,Asia,1
Japan Tokyo,Asia,1
Japan Tokyo,Asia,1
Korea Busan,Asia,1
Korea Daejon,Asia,1
Korea Seoul ,Asia,1
Korea Seoul,Asia,1
Mongolia Ulaanbaatar,Asia,1
Philippines Angeles,Asia,1
Philippines Bacolod,Asia,1
Philippines Baguio,Asia,1
Philippines Butuan,Asia,1
Philippines Cagayan De Oro ,Asia,1
Philippines Cauayan,Asia,1
Philippines Cavite,Asia,1
Philippines Cebu ,Asia,1
Philippines Cebu,Asia,1
Philippines Davao,Asia,1
Philippines Iloilo ,Asia,1
Philippines Laoag,Asia,1
Philippines Legaspi,Asia,1
Philippines Manila,Asia,1
Philippines Naga,Asia,1
Philippines Olongapo ,Asia,1
Philippines Quezon City ,Asia,1
Philippines Quezon City North ,Asia,1
Philippines San Pablo,Asia,1
Philippines Tacloban ,Asia,1
Philippines Urdaneta ,Asia,1
Singapore,Asia,1
Taiwan Taichung ,Asia,1
Taiwan Taipei ,Asia,1
Thailand Bangkok ,Asia,1
Canada Calgary,Canada,1
Canada Edmonton,Canada,1
Canada Halifax,Canada,1
Canada Montreal,Canada,1
Canada Toronto ,Canada,1
